staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
55738,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (Toyota DBBL),10,0,0,0,ALBA Berlin,0,basketball-bund.net
55746,Bundesligen,Bundesligen,2,2. Bundesliga (ProA),2. DBBL Nord,12,0,0,0,BBC Osnabrück,0,basketball-bund.net
55749,Bundesligen,Bundesligen,2,2. Bundesliga (ProA),2. DBBL Süd,12,0,0,0,ASC Theresianum Mainz,0,basketball-bund.net
52539,Baden-Württemberg,Baden-Württemberg,4,1. Regionalliga,Regionalliga Baden-Württemberg Frauen,12,0,0,0,BBU'01,0,basketball-bund.net
54586,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,Regionalliga Damen (RLD),12,0,0,0,BC Langendreer,0,basketball-bund.net
52860,Regionalliga Südwest,Regionalliga Südwest,4,1. Regionalliga,Regionalliga Damen Nord,12,4,495,8,MJC Trier,2,basketball-bund.net
54821,Regionalliga Nord,Regionalliga Nord,5,2.Regionalliga,2. Regionalliga Damen Nord,8,0,0,0,BG Harburg-Hittfeld,0,basketball-bund.net
54823,Regionalliga Nord,Regionalliga Nord,5,2.Regionalliga,2. Regionalliga Damen West,9,0,0,0,BG '89 Rotenburg/Scheeßel 2,0,basketball-bund.net
53325,Baden-Württemberg,Baden-Württemberg,6,Oberliga,Oberliga Baden Frauen,11,0,0,0,Basket Ladies Kurpfalz 2,0,basketball-bund.net
53324,Baden-Württemberg,Baden-Württemberg,6,Oberliga,Oberliga Württemberg Frauen,12,0,0,0,BBC Stuttgart,0,basketball-bund.net
52533,Bayern,Bayern,6,Bayernliga,Bayernliga Nord Damen (ByLND),10,0,0,0,DJK Neustadt a. d. Waldnaab,0,basketball-bund.net
55054,Berlin,Berlin,6,Oberliga,Damen Oberliga,10,0,0,0,BASS Berlin 2,0,basketball-bund.net
55208,Brandenburg,Brandenburg,6,Oberliga,Oberliga Damen,5,0,0,0,BBC Cottbus,0,basketball-bund.net
53471,Hamburg,Hamburg,6,Oberliga,Damen Oberliga (53471),10,0,0,0,Altonaer TSV von 1899 (1),0,basketball-bund.net
54627,Hessen,Hessen,6,Oberliga,Oberliga Damen (54627),9,5,628,10,BC Marburg 3,2,basketball-bund.net
54138,Niedersachsen,Niedersachsen,6,Oberliga,Oberliga Damen Ost,8,1,94,2,MTV/BG Wolfenbüttel II,2,basketball-bund.net
54139,Niedersachsen,Niedersachsen,6,Oberliga,Oberliga Damen West,7,0,0,0,BBC Osnabrück II,0,basketball-bund.net
52953,Rheinland-Pfalz,Rheinland-Pfalz,6,Oberliga,Oberliga Rheinland-Pfalz/Saar Damen,10,3,387,6,Sportfreunde Neustadt/Wied,2,basketball-bund.net
52792,Sachsen,Sachsen,6,Oberliga,Oberliga Damen Sachsen,6,0,0,0,BBV Leipzig Eagles,0,basketball-bund.net
53239,Sachsen-Anhalt,Sachsen-Anhalt,6,Oberliga,Oberliga Damen (53239),6,0,0,0,BBC Halle,0,basketball-bund.net
53845,Schleswig-Holstein,Schleswig-Holstein,6,Oberliga,DOL,8,0,0,0,BBC Rendsburg,0,basketball-bund.net
54721,Thüringen,Thüringen,6,Oberliga,Oberliga Damen (54721),8,0,0,0,BC Erfurt,0,basketball-bund.net
53878,Baden-Württemberg,Baden-Württemberg,7,Landesliga,BBW3 Landesliga Frauen,8,0,0,0,BBC Stuttgart 2,0,basketball-bund.net
55015,Baden-Württemberg,Baden-Württemberg,7,Landesliga,BBW4 Landesliga Frauen,8,0,0,0,Panthers Villingen-Schwenningen,0,basketball-bund.net
55055,Berlin,Berlin,7,Landesliga,Damen Landesliga A,10,0,0,0,ALBA Berlin 3,0,basketball-bund.net
55056,Berlin,Berlin,7,Landesliga,Damen Landesliga B,10,0,0,0,ALBA Berlin 4,0,basketball-bund.net
55206,Brandenburg,Brandenburg,7,Landesliga,Landesliga Damen,4,0,0,0,KINGS&QUEENS Basketball Potsdam e.V.,0,basketball-bund.net
53481,Hamburg,Hamburg,7,Stadtliga,Damen Stadtliga,9,0,0,0,Altonaer TSV e. V. (2),0,basketball-bund.net
54641,Hessen,Hessen,7,Landesliga,Landesliga Nord Damen,9,7,771,14,TSV Grünberg 2,4,basketball-bund.net
54642,Hessen,Hessen,7,Landesliga,Landesliga Süd Damen,8,3,234,6,TG  Hanau 1,2,basketball-bund.net
54145,Niedersachsen,Niedersachsen,7,Landesliga,Landesliga Damen 1,7,1,56,2,SC Osterwieck,2,basketball-bund.net
54144,Niedersachsen,Niedersachsen,7,Landesliga,Landesliga Damen 2,8,0,0,0,1. BC Bremerhaven,0,basketball-bund.net
54206,Niedersachsen,Niedersachsen,7,Landesliga,Landesliga Damen 3,8,1,133,2,TV Meppen,2,basketball-bund.net
54528,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Damen,7,2,211,4,TKW Nienburg Ravens,2,basketball-bund.net
53664,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Damen (53664),9,1,114,2,SC Melle,2,basketball-bund.net
54758,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Damen OL/OF,5,0,0,0,Bürgerfelder TB III,0,basketball-bund.net
54709,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Göttingen Damen,4,0,0,0,ASC 46 Göttingen IV,0,basketball-bund.net
54167,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Mixed,6,0,0,0,BG Bierden-Bassen-Achim,0,basketball-bund.net
54589,Nordrhein-Westfalen,Nordrhein-Westfalen,7,Landesliga,Landesliga 1 Damen (LL1D),11,0,0,0,BTV Basketball Brühl,0,basketball-bund.net
54591,Nordrhein-Westfalen,Nordrhein-Westfalen,7,Landesliga,Landesliga 2 Damen (LL2D),10,1,87,2,TV Grafenberg,2,basketball-bund.net
54595,Nordrhein-Westfalen,Nordrhein-Westfalen,7,Landesliga,Landesliga 4 Damen (LL4D),11,0,0,0,BBA Hagen,0,basketball-bund.net
54596,Nordrhein-Westfalen,Nordrhein-Westfalen,7,Landesliga,Landesliga 5 Damen (LL5D),11,0,0,0,1. AFC Bielefeld Bulldogs,0,basketball-bund.net
