staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
55802,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),18,0,0,0,ALBA BERLIN,0,basketball-bund.net
55811,Bundesligen,Bundesligen,2,2. Bundesliga (ProA),Herren ProA,18,0,0,0,Artland Dragons,0,basketball-bund.net
55815,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,14,0,0,0,ART Giants Düsseldorf,0,basketball-bund.net
55817,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,17,0,0,0,Ahorn Camp Baskets,0,basketball-bund.net
54569,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),14,0,0,0,ACCENT BASKETS Salzkotten,0,basketball-bund.net
53316,Baden-Württemberg,Baden-Württemberg,5,2. Regionalliga,Regionalliga Baden-Württemberg Männer,14,0,0,0,BG Remseck,0,basketball-bund.net
54570,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 1 Herren (2RL1H),12,0,0,0,BG Aachen,0,basketball-bund.net
54571,Nordrhein-Westfalen,Nordrhein-Westfalen,5,2.Regionalliga,2.Regionalliga 2 Herren (2RL2H),12,0,0,0,BBG Herford 2,0,basketball-bund.net
52859,Regionalliga Südwest,Regionalliga Südwest,5,2. Regionalliga,2. Regionalliga Herren Nord,12,0,0,0,1. FCK epsotech Baskets,0,basketball-bund.net
53323,Baden-Württemberg,Baden-Württemberg,6,Oberliga,Oberliga Baden Männer,12,0,0,0,BG Viernheim/Weinheim 2,0,basketball-bund.net
53322,Baden-Württemberg,Baden-Württemberg,6,Oberliga,Oberliga Württemberg Männer,12,0,0,0,BBU'01 2,0,basketball-bund.net
52531,Bayern,Bayern,6,Bayernliga,Bayernliga Herren Mitte (ByLHM),12,0,0,0,Dukes Dingolfing,0,basketball-bund.net
52532,Bayern,Bayern,6,Bayernliga,Bayernliga Herren Süd (ByLHS),12,0,0,0,BC Hellenen München,0,basketball-bund.net
55040,Berlin,Berlin,6,Oberliga,Herren Oberliga A,10,0,0,0,ALBA Berlin 3,0,basketball-bund.net
55041,Berlin,Berlin,6,Oberliga,Herren Oberliga B,10,0,0,0,BBC 90 Köpenick 1,0,basketball-bund.net
55009,Brandenburg,Brandenburg,6,Oberliga,Oberliga Herren Hauptrunde,8,0,0,0,BBC White Devils Cottbus,0,basketball-bund.net
53470,Hamburg,Hamburg,6,Oberliga,Herren Oberliga,10,0,0,0,BG Halstenbek / Pinneberg (1),0,basketball-bund.net
54626,Hessen,Hessen,6,Oberliga,Oberliga Herren,9,3,482,6,MTV Kronberg 1,2,basketball-bund.net
55541,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,6,Oberliga,Oberliga Herren (55541),5,0,0,0,PSV Wismar Bulls,0,basketball-bund.net
54136,Niedersachsen,Niedersachsen,6,Oberliga,Oberliga Herren Ost,10,1,155,2,MTV Gifhorn,2,basketball-bund.net
54576,Nordrhein-Westfalen,Nordrhein-Westfalen,6,Oberliga,Oberliga 3 Herren (OL3H),11,0,0,0,BBA Hagen 2,0,basketball-bund.net
52893,Rheinland-Pfalz,Rheinland-Pfalz,6,Oberliga,Oberliga Rheinland-Pfalz/Saar Herren,11,0,0,0,1. FC Kaiserslautern 2,0,basketball-bund.net
53237,Sachsen-Anhalt,Sachsen-Anhalt,6,Oberliga,Oberliga Herren (53237),7,0,0,0,BG GutsMuths Panthers QLB/HBS I,0,basketball-bund.net
53844,Schleswig-Holstein,Schleswig-Holstein,6,Oberliga,HOL,10,0,0,0,1. SC Norderstedt,0,basketball-bund.net
54718,Thüringen,Thüringen,6,Oberliga,Oberliga Herren (Vorrunde),10,0,0,0,1. BV Gera 66,0,basketball-bund.net
52661,Baden-Württemberg,Baden-Württemberg,7,Landesliga,BBW1 Landesliga Männer,13,0,0,0,BAC Hockenheim 1,0,basketball-bund.net
55014,Baden-Württemberg,Baden-Württemberg,7,Landesliga,BBW4 Landesliga Männer,11,0,0,0,BBU 01 Ulm (3),0,basketball-bund.net
55042,Berlin,Berlin,7,Landesliga,Herren Landesliga A,12,0,0,0,ALBA Berlin 4,0,basketball-bund.net
55045,Berlin,Berlin,7,Landesliga,Herren Landesliga B,12,0,0,0,ALBA Berlin 5,0,basketball-bund.net
55193,Brandenburg,Brandenburg,7,Landesliga,Landesliga Herren,10,0,0,0,BBC Cottbus 2,0,basketball-bund.net
53479,Hamburg,Hamburg,7,Stadtliga,Herren Stadtliga Ost,9,0,0,0,Altrahlstedter MTV 1893 (1),0,basketball-bund.net
53480,Hamburg,Hamburg,7,Stadtliga,Herren Stadtliga West,9,0,0,0,Altonaer TSV von 1899 e.V. (2),0,basketball-bund.net
54639,Hessen,Hessen,7,Landesliga,Landesliga Nord Herren,10,5,586,9,RSV Heskem 1,2,basketball-bund.net
54640,Hessen,Hessen,7,Landesliga,Landesliga Süd Herren,10,5,576,9,FTG Frankfurt 1,2,basketball-bund.net
55544,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,7,Landesliga,Landesliga Herren West,5,0,0,0,BIG Rostock,0,basketball-bund.net
54140,Niedersachsen,Niedersachsen,7,Landesliga,Landesliga Herren 1,10,0,0,0,ASC 46 Göttingen II,0,basketball-bund.net
54142,Niedersachsen,Niedersachsen,7,Landesliga,Landesliga Herren 3,11,0,0,0,BG '89 Rotenburg/Scheeßel,0,basketball-bund.net
54674,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Braunschweig Herren,10,0,0,0,Eintracht Braunschweig  2,0,basketball-bund.net
54708,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Göttingen Herren,9,0,0,0,ASC 46 Göttingen III,0,basketball-bund.net
54527,Niedersachsen,Niedersachsen,7,Regionsliga,Regionsliga Herren,10,0,0,0,CVJM Hannover 3,0,basketball-bund.net
