staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
ffb1/2026,,,1,Frauen-Bundesliga,Frauen-Bundesliga,14,21,67,59,VfL Wolfsburg Frauen,9,OpenLigaDB
rlw-frauen/2026,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),16,9,33,26,1. FFC Recklinghausen,3,OpenLigaDB
03162371BG000006VS5489BTVU7GTVLE-G,Baden,Baden,4,Verbandsliga,bfv-Frauen-Verbandsliga · Baden,12,0,0,0,1. FC Ersingen,0,fussball.de
0319LR9N1K000005VS5489BUVV628VP4-G,Bayern,Bayern,4,Bayernliga,Frauen Bayernliga,12,12,36,35,FC Forstern,6,fussball.de
0317AJDKH000000HVS5489BUVSBBVPEU-G,Berlin,Berlin,4,Verbandsliga,Frauen Berlin-Liga,14,13,59,35,Hertha BSC II,6,fussball.de
0316J4BA3C000002VS5489BTVU7GTVLE-G,Brandenburg,Brandenburg,4,Landesliga,Landesliga · Brandenburg,8,5,19,15,SV Grün-Weiss Brieselang,6,fussball.de
031FAGJE34000017VS5489BTVUS470OH-G,Bremen,Bremen,4,Verbandsliga,Verbandsliga - Hauptrunde · Bremen,8,11,59,32,ESC Geestemünde,6,fussball.de
0314C5SDDO00000EVS5489BTVU7GTVLE-G,Hamburg,Hamburg,4,Verbandsliga,FOL Frauen-Oberliga Hamburg,12,18,82,53,Victoria 1.Fr.,9,fussball.de
031CO14DG400000FVS5489BTVUS470OH-G,Hessen,Hessen,4,Hessenliga,Frauen Hessenliga,13,22,83,60,SG Bornheim/GW,10,fussball.de
031JFG3C6S000005VS5489BUVVKNMR0J-G,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,4,Verbandsliga,Verbandsliga Frauen · Mecklenburg-Vorpommern,7,2,12,6,Greifswalder FC,3,fussball.de
031DHDEQ90000003VS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,4,Verbandsliga,Frauen-Mittelrheinliga,13,0,0,0,1. FC Köln III,0,fussball.de
031EETE59G00000CVS5489BUVUR5FS5A-G,Niederrhein,Niederrhein,4,Niederrheinliga,Frauen Niederrheinliga,14,12,57,35,TSV Solingen,6,fussball.de
03132M2LUO000006VS5489BTVU7GTVLE-G,Niedersachsen,Niedersachsen,4,Oberliga Niedersachsen,AOK-Frauenmeisterschaft Niedersachsen Ost,15,27,136,75,SG Rodenberg,12,fussball.de
03132M2M74000006VS5489BTVU7GTVLE-G,Niedersachsen,Niedersachsen,4,Oberliga Niedersachsen,AOK-Frauenmeisterschaft Niedersachsen West,14,22,83,65,BWS Tündern-Hastenbeck,12,fussball.de
031CBUK5UG000003VS5489BUVUR5FS5A-G,Rheinland,Rheinland,4,Rheinlandliga,Rheinlandliga,13,16,76,45,SV Holzbach,9,fussball.de
031AT6R77O000004VS5489BUVV628VP4-G,Saarland,Saarland,4,Verbandsliga,Verbandsliga · Saarland,12,16,86,46,1. FC Saarbrücken II,9,fussball.de
031DBH5SVO000000VS5489BUVUR5FS5A-G,Sachsen,Sachsen,4,Landesliga,Sachsenliga Frauen,12,11,44,32,1. FFC Fortuna Dresden,6,fussball.de
030BND22OG000004VS5489BTVTJUP7HP-G,Sachsen-Anhalt,Sachsen-Anhalt,4,Verbandsliga,Humanas Frauen-Verbandsliga · Sachsen-Anhalt,9,7,47,20,1. FC Magdeburg U23,6,fussball.de
0311J88R1O000006VS5489BUVVARDA0V-G,Schleswig-Holstein,Schleswig-Holstein,4,Oberliga Schleswig-Holstein,VR-Banken Oberliga · Schleswig-Holstein,12,18,73,49,SG NieBar,7,fussball.de
031DCM6EKO000005VS5489BTVUS470OH-G,Südbaden,Südbaden,4,Verbandsliga,Frauen Verbandsliga Südbaden,13,0,0,0,Alem. Freiburg-Zähringen,0,fussball.de
0319RAI0D4000004VS5489BUVV628VP4-G,Südwest,Südwest,4,Verbandsliga,Frauen Verbandsliga Südwest,12,23,125,68,1. FC Kaiserslautern,12,fussball.de
031HD07908000004VS5489BTVVG7L386-G,Thüringen,Thüringen,4,Verbandsliga,Thüringenliga Staffel 1,5,4,39,12,SG EFC Ruhla 08,6,fussball.de
031HD0I3L4000003VS5489BTVVG7L386-G,Thüringen,Thüringen,4,Verbandsliga,Thüringenliga Staffel 2,5,4,15,11,Saalfeld Titans,4,fussball.de
031HD0R2RG000004VS5489BTVVG7L386-G,Thüringen,Thüringen,4,Verbandsliga,Thüringenliga Staffel 3,5,4,19,12,FC Carl Zeiss Jena III,6,fussball.de
0314GURVOK000012VS5489BUVSBBVPEU-G,Westfalen,Westfalen,4,Verbandsliga,Frauen-Westfalenliga,14,20,117,60,Borussia Dortmund II,9,fussball.de
031DO1QT3K00000CVS5489BUVUR5FS5A-G,Württemberg,Württemberg,4,Verbandsliga,Verbandsliga · Württemberg,12,0,0,0,1. FC Donzdorf,0,fussball.de
0316219I2G00000CVS5489BTVU7GTVLE-G,Baden,Baden,5,Landesliga,bfv-Frauen Landesliga Baden,11,0,0,0,FC Odenheim,0,fussball.de
