rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,VfL Wolfsburg Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,1,3,3,0,0,13,5,8,9,3.0,0,OpenLigaDB
2,FC Bayern München Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,2,3,3,0,0,10,2,8,9,3.0,0,OpenLigaDB
3,Eintracht Frankfurt Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,3,3,2,1,0,4,1,3,7,2.33,2,OpenLigaDB
4,VfB Stuttgart Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,4,3,2,1,0,7,5,2,7,2.33,0,OpenLigaDB
5,1. FC Köln Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,5,3,2,0,1,5,2,3,6,2.0,3,OpenLigaDB
6,SV Werder Bremen Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,6,3,2,0,1,6,4,2,6,2.0,-3,OpenLigaDB
7,Bayer 04 Leverkusen Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,7,3,2,0,1,5,3,2,6,2.0,0,OpenLigaDB
8,SC Freiburg Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,8,3,1,1,1,3,5,-2,4,1.33,-2,OpenLigaDB
9,Hamburger SV Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,9,3,0,2,1,3,4,-1,2,0.67,0,OpenLigaDB
10,1. FC Nürnberg Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,10,3,0,2,1,6,12,-6,2,0.67,0,OpenLigaDB
11,RB Leipzig Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,11,3,0,1,2,1,5,-4,1,0.33,3,OpenLigaDB
12,TSG 1899 Hoffenheim Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,12,3,0,0,3,2,5,-3,0,0.0,-1,OpenLigaDB
13,1. FC Union Berlin Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,13,3,0,0,3,1,6,-5,0,0.0,0,OpenLigaDB
14,1. FSV Mainz 05 Frauen,,,1,Frauen-Bundesliga,Frauen-Bundesliga,ffb1/2026,14,3,0,0,3,1,8,-7,0,0.0,-2,OpenLigaDB
15,1. FFC Recklinghausen,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,1,1,1,0,0,6,2,4,3,3.0,0,OpenLigaDB
16,Borussia Dortmund,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,2,1,1,0,0,3,0,3,3,3.0,0,OpenLigaDB
17,Bayer 04 Leverkusen II,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,4,1,1,0,0,3,1,2,3,3.0,0,OpenLigaDB
18,FC Schalke 04,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,5,1,1,0,0,3,1,2,3,3.0,0,OpenLigaDB
19,MSV Duisburg,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,6,1,1,0,0,2,1,1,3,3.0,0,OpenLigaDB
20,SC Fortuna Köln,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,7,1,1,0,0,1,0,1,3,3.0,0,OpenLigaDB
21,DSC Arminia Bielefeld,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,3,2,1,0,1,5,3,2,3,1.5,0,OpenLigaDB
22,FSV Gütersloh 2009,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,8,2,1,0,1,3,7,-4,3,1.5,0,OpenLigaDB
23,DJK Wacker Mecklenbeck,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,9,1,0,1,0,0,0,0,1,1.0,0,OpenLigaDB
24,SV Fortuna Freudenberg,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,10,1,0,1,0,0,0,0,1,1.0,0,OpenLigaDB
25,VfR SW Warbeyen 1945 e.V.,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,11,1,0,0,1,2,3,-1,0,0.0,0,OpenLigaDB
26,SSV Rhade,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,12,1,0,0,1,1,2,-1,0,0.0,0,OpenLigaDB
27,SGS Essen II,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,13,1,0,0,1,0,1,-1,0,0.0,0,OpenLigaDB
28,DJK Südwest Köln,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,14,1,0,0,1,1,3,-2,0,0.0,0,OpenLigaDB
29,Vorwärts Spoho Köln,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,15,1,0,0,1,1,3,-2,0,0.0,0,OpenLigaDB
30,Rhenania Bottrop,,,3,Regionalliga West (Frauen),Regionalliga West (Frauen),rlw-frauen/2026,16,1,0,0,1,2,6,-4,0,0.0,0,OpenLigaDB
31,1. FC Magdeburg U23,Sachsen-Anhalt,Sachsen-Anhalt,4,Verbandsliga,Humanas Frauen-Verbandsliga · Sachsen-Anhalt,030BND22OG000004VS5489BTVTJUP7HP-G,1,2,2,0,0,23,0,23,6,3.0,,fussball.de
32,Borussia Dortmund II,Westfalen,Westfalen,4,Verbandsliga,Frauen-Westfalenliga,0314GURVOK000012VS5489BUVSBBVPEU-G,1,3,3,0,0,24,1,23,9,3.0,,fussball.de
