staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
bl1/2026,,,1,Bundesliga,Bundesliga,18,18,71,51,FC Augsburg,6,OpenLigaDB
bl2/2026,,,2,2. Bundesliga,2. Bundesliga,18,36,131,99,Hertha BSC,12,OpenLigaDB
bl3/2026,,,3,3. Liga,3. Liga,20,40,132,113,MSV Duisburg,12,OpenLigaDB
rln/2026,,,4,Regionalliga Nord,Regionalliga Nord,18,63,236,175,SC Weiche Flensburg 08,19,OpenLigaDB
rlno/2026,,,4,Regionalliga Nordost,Regionalliga Nordost,18,63,193,172,Rot-Weiß Erfurt,17,OpenLigaDB
031D0NRQ3O000004VS5489BUVUR5FS5A-G,,Deutschland,4,Regionalliga,Regionalliga Südwest,18,51,158,135,Kickers Offenbach,16,fussball.de
031253DN8G000005VS5489BTVT51B5B5-G,,Deutschland,4,Regionalliga,Regionalliga West,18,62,207,167,FC Gütersloh,19,fussball.de
0307PKMJ7S000009VS5489BUVT69HBT7-G,Bayern,Bayern,4,Regionalliga Bayern,Regionalliga Bayern,19,63,199,173,TSV Buchbach,17,fussball.de
031DMS4JCO000009VS5489BUVUR5FS5A-G,,Deutschland,5,Oberliga,Herren Oberliga Rheinland-Pfalz/Saar,18,55,210,156,FV Engers 07,14,fussball.de
0316DLRBJC00000AVS5489BUVSBBVPEU-G,,Deutschland,5,Oberliga,NOFV-Oberliga Nord,16,24,63,65,Berliner AK 07,7,fussball.de
0316DLRBR8000009VS5489BUVSBBVPEU-G,,Deutschland,5,Oberliga,NOFV-Oberliga Süd,16,24,86,69,VfB Germania Halberstadt,9,fussball.de
0307PKTD20000000VS5489BUVT69HBT7-G,Bayern,Bayern,5,Bayernliga,Bayernliga Nord,18,79,258,220,ASV Cham,24,fussball.de
0307PKTEL0000054VS5489BUVT69HBT7-G,Bayern,Bayern,5,Bayernliga,Bayernliga Süd,18,81,272,218,FC Pipinsried,22,fussball.de
031DQ5CNJG00000QVS5489BTVUS470OH-G,Bremen,Bremen,5,Verbandsliga,Bremen-Liga,16,39,171,112,Blumenthaler SV,15,fussball.de
0318JRPNOS000007VS5489BTVSK8S3O6-G,Hamburg,Hamburg,5,Verbandsliga,Gamesright Oberliga Hamburg,18,52,200,148,Dassendorf 1.Hr.,16,fussball.de
0318HOM0R000000BVS5489BUVV628VP4-G,Hessen,Hessen,5,Hessenliga,Lotto Hessenliga,18,64,224,170,SV Unter-Flockenbach,16,fussball.de
031CNVCRES00000FVS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,5,Verbandsliga,Mittelrheinliga,16,16,63,43,SV Eintracht Hohkeppel,4,fussball.de
0311F9LVPS00000FVS5489BUVVARDA0V-G,Niederrhein,Niederrhein,5,Oberliga Niederrhein,Oberliga Niederrhein,18,34,129,92,SpVg Schonnebeck,10,fussball.de
0318JH0SCK000006VS5489BUVV628VP4-G,Niedersachsen,Niedersachsen,5,Oberliga Niedersachsen,Oberliga Niedersachsen,16,39,137,107,Heeslinger SC,13,fussball.de
031AVH9TIC000004VS5489BTVSK8S3O6-G,Schleswig-Holstein,Schleswig-Holstein,5,Oberliga Schleswig-Holstein,Flens-Oberliga · Schleswig-Holstein,16,55,222,151,Holstein Kiel II - U23,16,fussball.de
0313Q1DCFS000012VS5489BTVU7GTVLE-G,Westfalen,Westfalen,5,Oberliga Westfalen,Oberliga Westfalen,18,45,157,125,Spvgg. Erkenschwick 1916,11,fussball.de
030J1UFK04000006VS5489BTVTDO5LMG-G,Württemberg,Württemberg,5,Oberliga,Oberliga Baden-Württemberg,18,44,151,125,SSV Reutlingen 1905 Fußball,15,fussball.de
03188V27L800000JVS5489BTVU7GTVLE-G,Baden,Baden,6,Verbandsliga,bfv-Verbandsliga · Baden,15,28,108,76,FC-Astoria Walldorf 2,9,fussball.de
0307PL23RO000007VS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Mitte · Bayern,18,88,314,250,ASV Burglengenfeld,22,fussball.de
0307PL24GS00001SVS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Nordost · Bayern,18,87,293,239,SpVgg Mögeldorf,25,fussball.de
0307PL25JS000057VS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Nordwest · Bayern,18,90,327,255,TSV Abtswind,30,fussball.de
0307PL235S00003OVS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Südost · Bayern,18,87,384,246,TSV Murnau 1865,26,fussball.de
0307PL268O000006VS5489BUVT69HBT7-G,Bayern,Bayern,6,Landesliga,Landesliga Südwest · Bayern,18,87,314,253,VfB Durach e.V.,27,fussball.de
0317AFL2VO000008VS5489BUVSBBVPEU-G,Berlin,Berlin,6,Verbandsliga,Herren Berlin-Liga,19,19,70,50,SC Charlottenburg,6,fussball.de
0314O7IITS000005VS5489BUVSBBVPEU-G,Brandenburg,Brandenburg,6,Verbandsliga,Brandenburgliga,16,10,34,29,SV 1908 Grün-Weiss Ahrensfelde,3,fussball.de
031DQALTOO00000UVS5489BTVUS470OH-G,Bremen,Bremen,6,Landesliga,Landesliga · Bremen,16,24,101,70,Bremen United,9,fussball.de
0318JS8A0C00000FVS5489BTVSK8S3O6-G,Hamburg,Hamburg,6,Landesliga,LL 01 · Hamburg,16,32,147,93,Voran Ohe 1.Hr.,12,fussball.de
0318JS8A88000004VS5489BTVSK8S3O6-G,Hamburg,Hamburg,6,Landesliga,LL 02 · Hamburg,16,31,106,86,Rugenbergen 1.Hr.,10,fussball.de
0318I3K77C00000BVS5489BUVV628VP4-G,Hessen,Hessen,6,Verbandsliga,VL Gr.Mitte · Hessen,17,52,244,147,SV Zeilsheim,16,fussball.de
0318HV9REO00000AVS5489BUVV628VP4-G,Hessen,Hessen,6,Verbandsliga,VL Gr.Nord · Hessen,17,58,223,162,FSV Wolfhagen,15,fussball.de
0318I2SMPG00000CVS5489BUVV628VP4-G,Hessen,Hessen,6,Verbandsliga,VL Gr.Süd · Hessen,17,56,221,159,SV Pars Neu-Isenburg,19,fussball.de
03162F6VV0000001VS5489BTVU7GTVLE-G,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,6,Verbandsliga,Verbandsliga Herren · Mecklenburg-Vorpommern,16,10,40,29,1. FC Neubrandenburg 04,6,fussball.de
031CO3JQMO00000HVS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,6,Landesliga,"Landesliga, Staffel 1 · Mittelrhein",16,16,67,47,FV Bonn-Endenich,6,fussball.de
031CO3JR0C00000FVS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,6,Landesliga,"Landesliga, Staffel 2 · Mittelrhein",16,16,65,44,Eintracht Verlautenheide,6,fussball.de
0311F9JM0S00000CVS5489BUVVARDA0V-G,Niederrhein,Niederrhein,6,Landesliga,Landesliga Gruppe 1 · Niederrhein,18,36,132,101,DJK Arminia Klosterhardt,12,fussball.de
0311F9JMFO00000IVS5489BUVVARDA0V-G,Niederrhein,Niederrhein,6,Landesliga,Landesliga Gruppe 2 · Niederrhein,18,36,139,101,DJK Adler Union Frintrop,12,fussball.de
0318NLIBU0000008VS5489BUVV628VP4-G,Niedersachsen,Bezirk Braunschweig,6,Landesliga,Landesliga Braunschweig,16,40,178,116,MTV Wolfenbüttel,15,fussball.de
0316M6KR58000004VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Hannover,6,Landesliga,Landesliga Hannover,15,35,144,100,SV Arminia Hannover,13,fussball.de
0312IJRKOK000005VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Lüneburg,6,Landesliga,Landesliga Lüneburg,16,41,187,116,MTV Eintracht Celle,15,fussball.de
03142CTJRC00000CVS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Weser-Ems,6,Landesliga,Landesliga Weser-Ems,16,48,159,138,SV Eintracht Nordhorn,18,fussball.de
031AU2ESDK00000IVS5489BUVV628VP4-G,Rheinland,Rheinland,6,Rheinlandliga,Rheinlandliga Herren,18,45,192,126,SG 2000 Mülheim-Kärlich,13,fussball.de
03108N8AOK000011VS5489BTVT51B5B5-G,Saarland,Saarland,6,Saarland-Liga,Schröder-Liga Saar · Saarland,18,72,277,199,SF Köllerbach,19,fussball.de
031B6510Q4000003VS5489BUVV628VP4-G,Sachsen,Sachsen,6,Landesliga,Sachsenliga,16,25,111,71,SG Taucha 99,9,fussball.de
0318MJ8884000004VS5489BTVSK8S3O6-G,Sachsen-Anhalt,Sachsen-Anhalt,6,Verbandsliga,Verbandsliga · Sachsen-Anhalt,16,24,82,67,SV Dessau 05,9,fussball.de
031AHTIHHC000008VS5489BUVV628VP4-G,Schleswig-Holstein,Schleswig-Holstein,6,Landesliga,Senioren Landesliga Holstein · Schleswig-Holstein,16,55,250,155,Eichholzer SV,21,fussball.de
031AHTGOGS000008VS5489BUVV628VP4-G,Schleswig-Holstein,Schleswig-Holstein,6,Landesliga,Senioren Landesliga Schleswig · Schleswig-Holstein,16,54,222,151,TSV Kronshagen,19,fussball.de
031BOPI4N0000004VS5489BUVUR5FS5A-G,Südbaden,Südbaden,6,Verbandsliga,Verbandsliga Südbaden,16,32,109,87,FC Denzlingen,9,fussball.de
0314L2G148000006VS5489BUVSBBVPEU-G,Südwest,Südwest,6,Verbandsliga,Herren Verbandsliga Südwest,17,48,167,131,TuS Marienborn,13,fussball.de
03155QQ1O0000009VS5489BUVSBBVPEU-G,Thüringen,Thüringen,6,Verbandsliga,11Teamsports Thüringenliga,16,31,112,87,SV SCHOTT Jena,10,fussball.de
0313Q1I0V800001GVS5489BTVU7GTVLE-G,Westfalen,Westfalen,6,Verbandsliga,Westfalenliga Herren Staffel 1,16,40,165,113,SV Eintracht Ahaus,12,fussball.de
0313Q1I1E800001OVS5489BTVU7GTVLE-G,Westfalen,Westfalen,6,Verbandsliga,Westfalenliga Herren Staffel 2,16,40,167,114,FC Roj,15,fussball.de
03160STGBC000005VS5489BUVSBBVPEU-G,Württemberg,Württemberg,6,Verbandsliga,Verbandsliga · Württemberg,16,32,115,89,FSV Hollenbach,10,fussball.de
03188VGCUS00000GVS5489BTVU7GTVLE-G,Baden,Baden,7,Landesliga,bfv-Landesliga Mittelbaden,17,40,177,113,ASV Durlach,15,fussball.de
03188VGCFS000000VS5489BTVU7GTVLE-G,Baden,Baden,7,Landesliga,bfv-Landesliga Odenwald · Baden,16,32,107,89,FC Grünsfeld,10,fussball.de
03188VGCOG00000HVS5489BTVU7GTVLE-G,Baden,Baden,7,Landesliga,bfv-Landesliga Rhein-Neckar · Baden,15,28,99,78,FV 1918 Brühl,10,fussball.de
0319QP91EO000005VS5489BUVV628VP4-G,Bayern,Bezirk Mittelfranken,7,Bezirksliga,BZL Mittelfranken Nord,16,70,247,200,ASV Vach,24,fussball.de
031B3M2RRC000006VS5489BTVSK8S3O6-G,Bayern,Bezirk Mittelfranken,7,Bezirksliga,BZL Mittelfranken Süd,16,70,278,192,SV Alesheim,19,fussball.de
03152BU2G8000005VS5489BTVU7GTVLE-G,Bayern,Bezirk Niederbayern,7,Bezirksliga,BzL Ndb. Ost · Bezirk Niederbayern,16,72,236,197,TSV Karpfham,27,fussball.de
03152BU248000005VS5489BTVU7GTVLE-G,Bayern,Bezirk Niederbayern,7,Bezirksliga,BzL Ndb. West · Bezirk Niederbayern,16,72,281,203,FSV Landau/Isar,23,fussball.de
0318M7EJ2O000006VS5489BUVV628VP4-G,Bayern,Bezirk Oberbayern,7,Bezirksliga,001 BZL Oberbayern Nord,16,63,218,179,FC Türk Sport Garching,18,fussball.de
0318M7HIL4000009VS5489BUVV628VP4-G,Bayern,Bezirk Oberbayern,7,Bezirksliga,002 BZL Oberbayern Ost,15,52,170,146,FC Töging,16,fussball.de
0318M7IG8C000035VS5489BUVV628VP4-G,Bayern,Bezirk Oberbayern,7,Bezirksliga,003 BZL Oberbayern Süd,16,63,250,181,TSV Moorenweis,22,fussball.de
03124F6F3S000003VS5489BUVVARDA0V-G,Bayern,Bezirk Oberfranken,7,Bezirksliga,Bezirksliga Oberfranken Ost,16,72,259,202,FC Vorwärts Röslau,25,fussball.de
