rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,FC Augsburg,,,1,Bundesliga,Bundesliga,bl1/2026,1,2,2,0,0,7,1,6,6,3.0,0,OpenLigaDB
2,SC Freiburg,,,1,Bundesliga,Bundesliga,bl1/2026,2,2,2,0,0,5,1,4,6,3.0,0,OpenLigaDB
3,Borussia Dortmund,,,1,Bundesliga,Bundesliga,bl1/2026,3,2,2,0,0,5,2,3,6,3.0,0,OpenLigaDB
4,SV 07 Elversberg,,,1,Bundesliga,Bundesliga,bl1/2026,4,2,2,0,0,7,5,2,6,3.0,0,OpenLigaDB
5,1. FSV Mainz 05,,,1,Bundesliga,Bundesliga,bl1/2026,5,2,1,1,0,5,0,5,4,2.0,0,OpenLigaDB
6,FC Bayern München,,,1,Bundesliga,Bundesliga,bl1/2026,6,2,1,1,0,5,1,4,4,2.0,0,OpenLigaDB
7,Bayer 04 Leverkusen,,,1,Bundesliga,Bundesliga,bl1/2026,7,2,1,0,1,6,3,3,3,1.5,0,OpenLigaDB
8,RB Leipzig,,,1,Bundesliga,Bundesliga,bl1/2026,8,2,1,0,1,4,3,1,3,1.5,0,OpenLigaDB
9,VfB Stuttgart,,,1,Bundesliga,Bundesliga,bl1/2026,9,2,1,0,1,5,6,-1,3,1.5,0,OpenLigaDB
10,SV Werder Bremen,,,1,Bundesliga,Bundesliga,bl1/2026,10,2,1,0,1,4,5,-1,3,1.5,0,OpenLigaDB
11,1. FC Köln,,,1,Bundesliga,Bundesliga,bl1/2026,11,2,1,0,1,4,6,-2,3,1.5,0,OpenLigaDB
12,SC Paderborn 07,,,1,Bundesliga,Bundesliga,bl1/2026,12,2,0,1,1,0,1,-1,1,0.5,0,OpenLigaDB
13,Eintracht Frankfurt,,,1,Bundesliga,Bundesliga,bl1/2026,13,2,0,1,1,4,7,-3,1,0.5,0,OpenLigaDB
14,FC Schalke 04,,,1,Bundesliga,Bundesliga,bl1/2026,14,2,0,1,1,0,3,-3,1,0.5,0,OpenLigaDB
15,1. FC Union Berlin,,,1,Bundesliga,Bundesliga,bl1/2026,15,2,0,1,1,3,7,-4,1,0.5,0,OpenLigaDB
