staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
12903,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,11,0,0,0,1.Fc KÖLN II,0,handball.net
13541,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,14,4,214,8,AMTV Hamburg,2,handball.net
12650,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Frauen Regionalliga,12,0,0,0,ASC 09 Dortmund SC Aplerbeck 09 E.V.,0,handball.net
13249,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,12,5,266,10,HSG Hunsrück,2,handball.net
12383,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Frauen (200),12,0,0,0,ETV Hamburg,0,handball.net
12910,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 1,14,1,0,2,HC TV Rhede,1,handball.net
12908,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,14,0,0,0,ATV Biesel,0,handball.net
12909,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,14,0,0,0,BTB Aachen,0,handball.net
12404,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,10,3,158,6,HSG Lingenfeld/Schwegenheim,2,handball.net
12821,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Frauen · Handballverband Rheinland,12,0,0,0,DJK/MJC Trier,0,handball.net
13012,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,12,1,63,2,HSG TV Birkenfeld/Nohfelden-Tus Schwarzenbach,2,handball.net
12543,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12,0,0,0,BSV Limbach-O.,0,handball.net
14062,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,12,2,110,4,HSG Holstein Kiel/Kronshagen,2,handball.net
12651,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 1,12,0,0,0,HSG EURO,0,handball.net
12652,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12,0,0,0,ASC 09 Dortmund II,0,handball.net
12924,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Frauen Gr. 1,14,0,0,0,DJK Tura 05 Dümpten,0,handball.net
12927,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Frauen Gr. 2,14,1,0,2,ASV Süchteln 1F,1,handball.net
12929,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Frauen Gr. 3,14,0,0,0,1.Fc KÖLN III,0,handball.net
12931,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Frauen Gr. 4,14,0,0,0,CVJM Oberwiehl,0,handball.net
12481,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,6,Verbandsliga,F-VL,10,3,173,6,FSG Gonsenheim/Schott,2,handball.net
13031,Handballverband SAAR,Handballverband SAAR,6,Verbandsliga,Verbandsliga Frauen,13,1,59,4,HSG Tva/Atsv Saarbrücken 2,2,handball.net
12574,Handballverband Sachsen,Handballverband Sachsen,6,Verbandsliga,VERBANDSLIGA OST,10,0,0,0,ESV Dresden,0,handball.net
12575,Handballverband Sachsen,Handballverband Sachsen,6,Verbandsliga,VERBANDSLIGA West,11,0,0,0,HC Fraureuth,0,handball.net
14065,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,6,Verbandsliga,Meisterrunde - Nord,12,3,187,6,SG Bordesholm/Brügge,2,handball.net
14066,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,6,Verbandsliga,Meisterrunde - Süd,12,3,160,6,TSV Ellerau,2,handball.net
12656,Handballverband Westfalen,Handballverband Westfalen,6,Verbandsliga,HVW Frauen Verbandsliga Staffel 1,12,0,0,0,SG Handball Detmold,0,handball.net
12658,Handballverband Westfalen,Handballverband Westfalen,6,Verbandsliga,HVW Frauen Verbandsliga Staffel 2,12,0,0,0,ATV Dorstfeld 1878 e.V.,0,handball.net
12657,Handballverband Westfalen,Handballverband Westfalen,6,Verbandsliga,HVW Frauen Verbandsliga Staffel 3,12,0,0,0,Allgemeiner Sportverein Hamm-Westfalen e.V.,0,handball.net
13434,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Frauen Gruppe (221),12,3,175,8,FC St. Pauli II,2,handball.net
13435,Hamburger Handballverband,Hamburger Handballverband,7,Landesliga,Landesliga Frauen Gruppe (222),12,0,0,0,2. Damen,0,handball.net
14651,HK Aachen-Düren,HK Aachen-Düren,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Regionsoberliga (w),8,0,0,0,Eschweiler SG,0,handball.net
12900,HK Bonn-Euskirchen-Sieg,HK Bonn-Euskirchen-Sieg,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Kreisoberliga Frauen,7,0,0,0,HSG Siebengebirge-Thomasberg,0,handball.net
17263,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,#0 - Freundschatfsspiel Senioren Frauen,2,0,0,0,HSG AM Hallo Essen,0,handball.net
16074,HK Essen,HK Essen,8,Bezirksoberliga / Kreisoberliga / Regionsoberliga,Staffel Nord - BEZIRKSOBERLIGA / KREISOBERLIGA / REGIONSOBERLIGA Frauen ( HK Essen),8,0,0,0,HSG Haarzopf/Huttrop,0,handball.net
