rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,AMTV Hamburg,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,1,1,1,0,0,32,16,16,2,2.0,,handball.net
2,TSV Ellerbek,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,2,1,1,0,0,31,21,10,2,2.0,,handball.net
3,HSG Hunsrück,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,1,1,1,0,0,34,25,9,2,2.0,,handball.net
4,Moskitos,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,2,1,1,0,0,35,27,8,2,2.0,,handball.net
5,HSG Wittlich,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,3,1,1,0,0,29,22,7,2,2.0,,handball.net
6,VTV Mundenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,4,1,1,0,0,28,21,7,2,2.0,,handball.net
7,HSG Tarp/Wanderup,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,3,1,1,0,0,26,23,3,2,2.0,,handball.net
8,ATSV Stockelsdorf,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,4,1,1,0,0,33,32,1,2,2.0,,handball.net
9,HSG Dudenhofen/Schifferstadt,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,5,1,1,0,0,23,22,1,2,2.0,,handball.net
10,1.Fc KÖLN II,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,1,0,0,0,0,0,0,0,0,0.0,,handball.net
11,ASC 09 Dortmund SC Aplerbeck 09 E.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Frauen Regionalliga,12650,1,0,0,0,0,0,0,0,0,0.0,,handball.net
12,Adler Königshof 1F,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,2,0,0,0,0,0,0,0,0,0.0,,handball.net
13,DHK Flensborg,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,5,0,0,0,0,0,0,0,0,0.0,,handball.net
14,FSG DJK Oberthal/Tus Hirstein,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,6,0,0,0,0,0,0,0,0,0.0,,handball.net
15,HBD Löwen Oberberg,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,3,0,0,0,0,0,0,0,0,0.0,,handball.net
16,HC Gelpe/Strombach,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,4,0,0,0,0,0,0,0,0,0.0,,handball.net
17,HC Treia/Jübek,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,6,0,0,0,0,0,0,0,0,0.0,,handball.net
18,HC Weiden 2018,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,5,0,0,0,0,0,0,0,0,0.0,,handball.net
19,HG Owschlag-Kropp-Tetenhusen,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,7,0,0,0,0,0,0,0,0,0.0,,handball.net
20,HL Buchholz08-Rosengarten II,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,8,0,0,0,0,0,0,0,0,0.0,,handball.net
21,HSC Haltern-Sythen,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Frauen Regionalliga,12650,2,0,0,0,0,0,0,0,0,0.0,,handball.net
22,HSV Überruhr 1. Frauen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,6,0,0,0,0,0,0,0,0,0.0,,handball.net
23,HT Norderstedt,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,9,0,0,0,0,0,0,0,0,0.0,,handball.net
24,Handball BAD Salzuflen,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Frauen Regionalliga,12650,3,0,0,0,0,0,0,0,0,0.0,,handball.net
