staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
hbl-248,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,18,36,2214,72,SG Flensburg-Handewitt,8,HBL (Sportradar)
hbl-254,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,18,27,1660,54,VfL Eintracht Hagen,6,HBL (Sportradar)
14054,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,16,24,1443,48,TSV Altenholz,6,handball.net
14053,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,16,24,1533,48,TUS Spenge,6,handball.net
14056,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,16,22,1431,44,VFL Pfullingen,6,handball.net
14055,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,16,24,1425,48,HSG Krefeld Niederrhein,6,handball.net
12902,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Männer,14,0,0,0,BTB Aachen,0,handball.net
13540,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,14,17,989,34,TSV Ellerbek,6,handball.net
12649,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Männer Regionalliga,14,14,867,28,TSG Altenhagen-Heepen II,4,handball.net
13248,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-M,14,18,1042,36,SF Budenheim,6,handball.net
12373,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Männer (100),14,13,735,26,TV Fischbek,4,handball.net
17158,Hamburger Handballverband,Hamburger Handballverband,5,Oberliga,Oberliga Senioren (300),6,1,54,2,HT Norderstedt Ü40,2,handball.net
12904,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 1,14,0,0,0,1.Fc KÖLN,0,handball.net
12905,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 2,14,0,0,0,Bergische Panther II,0,handball.net
12906,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Männer Gr. 3,14,0,0,0,ASV Süchteln 1M,0,handball.net
12401,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,M-OL,12,14,735,28,TSG Ober-Hilbersheim,4,handball.net
12820,Handballverband Rheinland,Handballverband Rheinland,5,Oberliga,Oberliga Männer · Handballverband Rheinland,12,11,618,22,HC Koblenz,4,handball.net
14368,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Männer,12,10,447,20,DJK Marpingen,4,handball.net
12542,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS MÄNNER,12,12,677,24,SG LVB,4,handball.net
15097,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14,17,1029,34,TSV Altenholz II,5,handball.net
12646,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Männer Oberliga Staffel 1,14,11,588,22,TSV Hahlen 1945 e.V.,4,handball.net
12647,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Männer Oberliga Staffel 2,14,12,731,24,HSC Haltern-Sythen,3,handball.net
16949,Hamburger Handballverband,Hamburger Handballverband,6,Verbandsliga,Freiwurf-Liga Hamburg (910),4,0,0,0,Elmshorner HT (FWL),0,handball.net
12912,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 1,14,0,0,0,Alstadener TUS,0,handball.net
12914,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 2,14,0,0,0,DJK GRÜN Weiss Werden,0,handball.net
12917,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 3,14,0,0,0,Cronenberger TG,0,handball.net
12920,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 4,14,0,0,0,ATV Hückeswagen,0,handball.net
12921,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 5,14,0,0,0,1.Fc KÖLN II,0,handball.net
12922,Handball Nordrhein,Handball Nordrhein,6,Verbandsliga,Verbandsliga Männer Gr. 6,14,0,0,0,Handball Oppum II,0,handball.net
12467,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,6,Verbandsliga,VL-M,12,16,875,32,SF Budenheim 2,6,handball.net
12824,Handballverband Rheinland,Handballverband Rheinland,6,Verbandsliga,Verbandsliga Männer · Handballverband Rheinland,11,9,539,18,HSG Hunsrück II,4,handball.net
14383,Handballverband SAAR,Handballverband SAAR,6,Verbandsliga,Verbandsliga Männer,12,12,697,24,TUS Elm-Sprengen,4,handball.net
12571,Handballverband Sachsen,Handballverband Sachsen,6,Verbandsliga,Verbandsliga Ost,12,10,586,20,Kjs-Club Dresden,4,handball.net
12572,Handballverband Sachsen,Handballverband Sachsen,6,Verbandsliga,Verbandsliga West,12,11,616,22,Union Chemnitz,4,handball.net
14064,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,6,Verbandsliga,Meisterrunde - Nord,12,13,690,26,DIE HAIE I HSG Horst/Kiebitzreihe,4,handball.net
14063,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,6,Verbandsliga,Meisterrunde - Süd,12,12,593,24,MTV Dänischenhagen,6,handball.net
12653,Handballverband Westfalen,Handballverband Westfalen,6,Verbandsliga,HVW Männer Verbandsliga Staffel 1,14,12,677,24,HSG Spradow,4,handball.net
