rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,SG Flensburg-Handewitt,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,1,4,4,0,0,144,123,21,8,2.0,,HBL (Sportradar)
2,THW Kiel,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,2,4,4,0,0,132,112,20,8,2.0,,HBL (Sportradar)
3,SC Magdeburg,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,3,4,4,0,0,138,123,15,8,2.0,,HBL (Sportradar)
4,Füchse Berlin,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,4,4,3,0,1,132,128,4,6,1.5,,HBL (Sportradar)
5,MT Melsungen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,5,4,2,1,1,125,109,16,5,1.25,,HBL (Sportradar)
6,TSV Hannover-Burgdorf,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,6,4,2,1,1,116,116,0,5,1.25,,HBL (Sportradar)
7,HBW Balingen-Weilstetten,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,7,4,2,0,2,123,113,10,4,1.0,,HBL (Sportradar)
8,Rhein-Neckar Löwen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,8,4,2,0,2,113,116,-3,4,1.0,,HBL (Sportradar)
9,TBV Lemgo Lippe,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,9,4,2,0,2,124,130,-6,4,1.0,,HBL (Sportradar)
10,FRISCH AUF! Göppingen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,10,4,2,0,2,113,124,-11,4,1.0,,HBL (Sportradar)
11,VfL Gummersbach,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,11,4,1,1,2,121,123,-2,3,0.75,,HBL (Sportradar)
12,TVB Stuttgart,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,12,4,1,1,2,124,129,-5,3,0.75,,HBL (Sportradar)
13,ThSV Eisenach,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,13,4,1,1,2,120,125,-5,3,0.75,,HBL (Sportradar)
14,HC Erlangen,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,14,4,1,1,2,120,126,-6,3,0.75,,HBL (Sportradar)
15,SG BBM Bietigheim,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,15,4,1,0,3,117,136,-19,2,0.5,,HBL (Sportradar)
16,Handball Club Hamburg,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,16,4,0,1,3,119,126,-7,1,0.25,,HBL (Sportradar)
17,HSG Wetzlar,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,17,4,0,1,3,121,135,-14,1,0.25,,HBL (Sportradar)
18,Bergischer HC,,,1,1. Handball-Bundesliga,1. Handball-Bundesliga,hbl-248,18,4,0,0,4,112,120,-8,0,0.0,,HBL (Sportradar)
19,VfL Eintracht Hagen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,1,3,3,0,0,108,73,35,6,2.0,,HBL (Sportradar)
20,HC Elbflorenz 2006,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,2,3,3,0,0,117,88,29,6,2.0,,HBL (Sportradar)
21,SC DHfK Leipzig,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,3,3,3,0,0,90,83,7,6,2.0,,HBL (Sportradar)
22,1. VfL Potsdam,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,4,3,3,0,0,98,93,5,6,2.0,,HBL (Sportradar)
23,VfL Lübeck-Schwartau,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,5,3,2,0,1,108,87,21,4,1.33,,HBL (Sportradar)
24,TuS Ferndorf,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,6,3,2,0,1,95,84,11,4,1.33,,HBL (Sportradar)
25,TV 05/07 Hüttenberg,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,7,3,2,0,1,105,95,10,4,1.33,,HBL (Sportradar)
26,HSG Nordhorn-Lingen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,8,3,2,0,1,88,80,8,4,1.33,,HBL (Sportradar)
27,TV Emsdetten,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,9,3,1,0,2,91,90,1,2,0.67,,HBL (Sportradar)
28,Dessau-Roßlauer HV 06,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,10,3,1,0,2,87,95,-8,2,0.67,,HBL (Sportradar)
29,Eulen Ludwigshafen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,11,3,1,0,2,87,95,-8,2,0.67,,HBL (Sportradar)
30,TuS N-Lübbecke,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,12,3,1,0,2,83,96,-13,2,0.67,,HBL (Sportradar)
31,HSC 2000 Coburg,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,13,3,1,0,2,80,96,-16,2,0.67,,HBL (Sportradar)
32,ASV Hamm-Westfalen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,14,3,1,0,2,71,96,-25,2,0.67,,HBL (Sportradar)
33,GWD Minden,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,15,3,0,1,2,84,86,-2,1,0.33,,HBL (Sportradar)
34,TuSEM Essen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,16,3,0,1,2,89,108,-19,1,0.33,,HBL (Sportradar)
35,TV Großwallstadt,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,17,3,0,0,3,92,106,-14,0,0.0,,HBL (Sportradar)
36,TSV Bayer Dormagen,,,2,2. Handball-Bundesliga,2. Handball-Bundesliga,hbl-254,18,3,0,0,3,87,109,-22,0,0.0,,HBL (Sportradar)
37,HSG Krefeld Niederrhein,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,1,3,3,0,0,117,84,33,6,2.0,,handball.net
38,VFL Pfullingen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,1,3,3,0,0,111,86,25,6,2.0,,handball.net
39,TUS Spenge,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,1,3,3,0,0,104,82,22,6,2.0,,handball.net
40,TSV Altenholz,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,1,3,3,0,0,106,87,19,6,2.0,,handball.net
41,EHV AUE,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,2,3,3,0,0,96,77,19,6,2.0,,handball.net
